FY2022 ISD External Certified Public Accounting Firms,Regions,,,,,,,,,,,,,,,,,,,,
Firms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
Richard A. Bowman CPA,,,,,,,,,,,,,,,1,,,,,,1
"Roloff, Hnatek and Co., L.L.P.",,,17,1,,,,,,,,,1,,,,,,,,19
"Rutherford, Taylor & Company P.C. - Greenville",,,,,,,17,4,,16,1,,,,,,,,,,38
"Schalk & Smith, P.C.",,,,,,,,,,,3,,,,,,,,,,3
"Shawn D. Nesmith, CPA, PLLC",,,,,,,,,,1,,,,,,,,,,,1
"Singleton, Clark & Company, PC - Alpine",,,,,,,,,,,,,,,,,,3,3,,6
"Singleton, Clark & Company, PC - Cedar Park",,1,2,,,3,,,,,,17,12,,,,,,,,35
"Smith & Rives, PC",,,,,,,,,,,,,,,,,,2,1,,3
"Snow Garrett Williams, CPAs",,,,,,,,,,,20,,,,,,,,,,20
Squyres & Co. LLP,,,,,,,2,,,,,,,,,,,,,,2
"Stephens, Stephens, & Telchik, P.C.",,,,,,,,,,,,,,,,1,4,1,,,6
"Terry & King, CPAs, P.C.",,,,,,,,,,,,,,1,,,17,,,,18
"Thomas & Thomas, CPA's, PLLC",,,,,,,,4,,,,,,,,,,,,,4
Tiller and Company - San Augustine,,,,,,,1,,,,,,,,,,,,,,1
"Vail & Park, P.C.",,,,,,,,,,1,1,,,,,,,,,,2
"Wathen, De Shong & Juncker, L.L.P.",,,,,3,,,,,,,,,,,,,,,,3
"Wayne M. Manning, CPA",,,,,,,,,,,,,,,,,,1,,,1
"Weaver & Tidwell, L.L.P. - Austin",,,,,,2,,,,,,,,,,,,,,3,5
"Weaver & Tidwell, L.L.P. - Conroe",,,,9,3,4,,,,1,,1,,,,,,,,,18
"Weaver & Tidwell, L.L.P. - Dallas",,,,,,,,,1,9,1,,,,,,,,,,11
"Weaver & Tidwell, L.L.P. - Fort Worth",,,,,,,,,,,5,,,,,,,,,,5
"Weaver & Tidwell, L.L.P. - Houston",,,,3,,2,,,,,,,,,,,,,,,5
"West, Davis & Company, LLP",,,,,4,,,,,,,,1,,,,,,,,5
Whitley Penn LLP - Austin,,,,,,,,,,,,,7,,,,,,,,7
Whitley Penn LLP - Dallas,,,,,,,1,,,5,1,,,,,,,,,,7
Whitley Penn LLP - Fort Worth,,,,,,,,,,1,2,,,,,,,,,,3
Whitley Penn LLP - Houston,,,,18,2,2,,,,1,,,,,,,,,1,,24
Whitley Penn LLP - Odessa,,,,,,,,,,,,,,,,,,2,,,2
"Wilf & Henderson, P.C.",,,,,,,5,18,,,,,,,,,,,,,23
William A. Coombes,,,,,,,,,,,1,1,,,,,,,,,2
Total,38,41,38,47,34,55,94,46,37,80,76,77,52,42,43,61,57,32,12,57,1019
,,,,,,,,,,,,,,,,,,,,,
FY2022 Charter School ISD External Certified Public Accounting Firms,Region,,,,,,,,,,,,,,,,,,,,
Firms,1,2,4,5,6,7,10,11,12,13,14,15,17,18,19,20,Total,,,,
"ABIP, PC",,,,,,,,,,,,,,,,1,1,,,,
"Armanino, LLP",,,,,,,,,1,1,,,,,,,2,,,,
"Armstrong, Vaughan & Associates, P.C.",,,3,,,,,,,,,,,,,5,8,,,,
"Axley & Rode, LLP - Lufkin",,,,,,1,,,,,,,,,,,1,,,,
"Belt Harris Pechacek, LLLP - Houston",,,4,,,,,,,2,,,,,,,6,,,,
"Blazek & Vetterling, CPAs",1,,3,,1,,,,,4,,,,,,,9,,,,
"C. C. Garcia & Co., P.C.",,,,,,,,,,,,,,,,2,2,,,,
Cook Parker and Associates L.L.C.,,,,1,,,,,,,,,,,,,1,,,,
"Doeren Mayhew, CPAs and Advisors",,,1,,,,,,,,,,,,,,1,,,,
"Eckert & Company, LLP",,,,,,,,,,,,,,1,,,1,,,,
Forvis LLP,,,,,,,,,,,,,,,1,,1,,,,
"Freemon, Shapard & Story",,,,,,1,,4,,,,,,1,2,,8,,,,
Garza/Gonzalez & Associates,2,,,,,,,,,,,,1,,1,3,7,,,,
Gibson Ruddock Patterson LLC,,,,,,,,,,,,,,,1,,1,,,,
Gomez & Company,1,,4,,1,,3,,,,,,,,,5,14,,,,
Gregory S. Delk,,,,,,1,1,2,,,,,,,,,4,,,,
